id,story_id,author_id
1,106656,21811
2,106654,21090
3,106654,21769
4,106637,21773
5,106651,21765
6,106633,21533
7,106591,21756
8,106589,21510
9,106589,21755
10,106559,21767
11,106549,21799
12,106541,21782
13,106544,21090
14,106380,21863
15,106480,21779
16,106421,21878
17,106403,21771
18,106399,17296
19,106365,21785
20,106230,21785
21,106330,21783
22,106339,21784
23,106342,21769
24,106323,21768
25,106309,21885
26,106309,21320
27,106277,21327
28,106268,21756
29,106263,21510
30,106235,17296
31,106245,17296
32,106252,17296
33,106225,21769
34,106211,21799
35,106184,21782
36,106217,21784
37,106208,21811
38,106123,21779
39,106148,21328
40,106159,21845
41,106125,21768
42,106115,21769
43,106107,21782
44,106082,21504
45,106029,21966
46,106029,21504
47,106021,21784
48,105935,21533
49,105935,21755
50,106004,21770
51,105987,21090
52,105993,21785
53,105939,21783
54,105968,21799
55,105933,21765
56,105881,21531
57,105881,21756
58,105881,21755
59,105881,21770
60,105881,21533
61,105881,21510
62,105794,21785
63,105840,21175
64,105840,21771
65,105826,21755
66,105785,21811
67,105783,21783
68,105769,21799
69,105681,21785
70,105748,21782
71,105773,21784
72,105731,21767
73,105700,21780
74,105676,21783
75,105670,21782
76,105661,21507
77,105604,21784
78,105608,21785
79,105623,18712
80,105613,21267
81,105613,21175
82,105613,21934
83,105590,21783
84,105163,21783
85,105162,21782
86,105165,21799
87,105439,21782
88,105571,21327
89,105569,21510
90,105569,21531
91,105569,21770
92,105569,21755
93,105560,21845
94,105468,21327
95,105471,21810
96,105462,21756
97,105475,21863
98,105406,21769
99,105411,21531
100,105411,21756
101,105411,21533
102,105411,21770
103,105411,21755
104,105411,21510
105,105411,21765
106,105374,21090
107,105377,21863
108,105325,21780
109,105327,21885
110,105282,21531
111,105282,21510
112,105282,21756
113,105282,21533
114,105282,21755
115,105282,21770
116,105178,21781
117,105178,21833
118,105174,21832
119,105174,21831
120,105223,21755
121,105205,21327
122,105205,21768
123,105191,21090
124,105124,21768
125,105120,21770
126,105075,21510
127,105076,21756
128,105022,21333
129,105040,21811
130,105005,21799
131,104953,21799
132,104833,21785
133,104904,21784
134,104960,21782
135,104963,21784
136,104969,21783
137,105002,21782
138,105008,21784
139,104946,21755
140,104923,21756
141,104149,21781
142,104706,21835
143,104706,21837
144,104882,21327
145,104882,21810
146,104886,21885
147,104880,21768
148,104822,21783
149,104817,21782
150,104811,21533
151,104797,21770
152,104745,21497
153,104727,17296
154,104134,21510
155,104134,21588
156,104134,21829
157,104136,21588
158,104136,21829
159,104631,21785
160,104615,21327
161,104574,21756
162,104569,21531
163,104539,21327
164,104525,21768
165,104485,21799
166,104514,21533
167,104514,21770
168,104514,21531
169,104514,21756
170,104514,21510
171,104483,21755
172,104452,21771
173,104452,21175
174,104393,21863
175,104369,21768
176,104236,21782
177,104353,21783
178,104350,21784
179,104347,21784
180,104336,21799
181,104308,21765
182,104279,21090
183,104185,21771
184,104222,21845
185,104254,21852
186,104167,21755
187,104108,21826
188,104105,21768
189,104105,21810
190,104088,21533
191,104052,21770
192,101488,21497
193,101545,21497
194,101789,21497
195,101804,21497
196,101802,21497
197,101799,21497
198,100727,21497
