id,story_id,tag_id
1,106656,1122
2,106656,1756
3,106656,1248
4,106656,19720
5,106654,1122
6,106654,14604
7,106654,11824
8,106654,1248
9,106637,4794
10,106651,1148
11,106651,16797
12,106651,22007
13,106651,19722
14,106591,304
15,106591,21760
16,106591,20630
17,106589,21924
18,106589,21926
19,106589,21760
20,106589,19721
21,106589,10119
22,106559,5694
23,106559,1836
24,106559,1839
25,106559,3287
26,106549,6739
27,106549,22003
28,106549,22004
29,106549,21857
30,106549,22001
31,106549,22002
32,106541,20848
33,106541,6883
34,106541,87
35,106541,21849
36,106541,803
37,106541,21999
38,106541,22000
39,106541,150
40,106380,150
41,106380,260
42,106480,352
43,106480,1248
44,106421,21247
45,106421,5602
46,106403,150
47,106403,6449
48,106403,21996
49,106403,264
50,106403,21997
51,106365,21207
52,106365,19252
53,106230,20753
54,106230,96
55,106330,20701
56,106330,21990
57,106330,3340
58,106330,402
59,106330,21989
60,106339,13935
61,106339,21992
62,106339,115
63,106339,21993
64,106339,21991
65,106342,375
66,106342,13176
67,106342,940
68,106342,21994
69,106323,375
70,106323,8987
71,106323,10547
72,106277,21983
73,106277,7191
74,106277,21988
75,106268,304
76,106268,2112
77,106268,21924
78,106268,21760
79,106263,21757
80,106263,7627
81,106263,21760
82,106263,7653
83,106225,1122
84,106225,20429
85,106225,20157
86,106225,1248
87,106211,21882
88,106211,21983
89,106211,7191
90,106211,21985
91,106211,21982
92,106211,1062
93,106211,21981
94,106211,21857
95,106211,21984
96,106184,20848
97,106184,21977
98,106184,16524
99,106184,1362
100,106184,87
101,106184,21849
102,106184,150
103,106184,152
104,106184,293
105,106217,12342
106,106217,172
107,106217,327
108,106217,21986
109,106217,1839
110,106208,21980
111,106208,21952
112,106208,1801
113,106208,21979
114,106123,19763
115,106123,6636
116,106123,21978
117,106123,19783
118,106123,5810
119,106123,21972
120,106159,4601
121,106159,19994
122,106159,1275
123,106125,1412
124,106125,21973
125,106125,4647
126,106107,20848
127,106107,87
128,106107,21849
129,106107,5697
130,106107,21967
131,106107,4118
132,106107,3328
133,106107,2080
134,106107,18255
135,106107,21968
136,106029,19721
137,106021,15113
138,106021,21964
139,106021,16244
140,106021,15114
141,106021,152
142,106004,19722
143,105987,120
144,105987,384
145,105987,21926
146,105987,940
147,105987,150
148,105987,19720
149,105987,2950
150,105993,608
151,105993,97
152,105993,1378
153,105939,396
154,105939,150
155,105939,1902
156,105968,21959
157,105968,172
158,105968,21957
159,105968,21961
160,105968,266
161,105968,20601
162,105968,9650
163,105968,21960
164,105968,21857
165,105968,21958
166,105968,21962
167,105881,21760
168,105881,887
169,105881,21324
170,105881,325
171,105794,97
172,105840,19720
173,105826,1883
174,105826,21926
175,105826,21760
176,105826,21324
177,105785,21952
178,105785,21953
179,105785,21954
180,105785,256
181,105783,4824
182,105783,21858
183,105783,21951
184,105769,21946
185,105769,21637
186,105769,21945
187,105769,21947
188,105769,1970
189,105769,21857
190,105769,21634
191,105769,19720
192,105769,21948
193,105681,97
194,105748,20016
195,105748,21941
196,105748,304
